"date","forecast","lo80","hi80","lo95","hi95"
2026-05-28,74479.65,71492.56,77591.56,69960.09,79291.19
2026-05-29,74516.25,70440.49,78827.83,68373.94,81210.33
2026-05-30,74531.68,69553.16,79866.55,67053.75,82843.55
2026-05-31,74503.85,68797.43,80683.59,65955.74,84159.82
2026-06-01,74578.29,68150.72,81612.08,64975.54,85600.23
2026-06-02,74652.81,67583.74,82461.28,64116.74,86920.23
2026-06-03,74727.4,67075.57,83252.13,63347.4,88151.75
2026-06-04,74802.07,66613.05,83997.78,62647.45,89314.87
2026-06-05,74876.81,66187.29,84707.14,62003.32,90423.16
2026-06-06,74951.62,65791.92,85386.56,61405.3,91486.33
2026-06-07,75026.51,65422.21,86040.77,60846.19,92511.58
2026-06-08,75101.47,65074.54,86673.4,60320.46,93504.45
